GEOCODIGO_MUNICIPIO, NOME_MUNICIPIO, LONGITUDE, LATITUDE, POPULAÇÃO_TOTAL, Ger_RSD_(T/dia), Ger_RCD_(T/dia), Ger_RSS_(T/dia), Geração_Total_(T/dia)
5200050, ABADIA_DE_GOIÁS, -49.441, -16.759, 6876, 2.90, 6.51, 0.0265, 9.44
5200100, ABADIÂNIA, -48.719, -16.183, 15757, 7.01, 2.30, 13.8200, 23.13
5200134, ACREÚNA, -50.375, -17.398, 20279, 11.50, 22.69, 0.0924, 34.28
5200159, ADELÂNDIA, -50.163, -16.415, 2477, 1.26, 2.83, 0.0115, 4.10
5200175, ÁGUA_FRIA_DE_GOIÁS, -47.782, -14.986, 5090, 1.22, 2.74, 0.0112, 3.97
5200209, ÁGUA_LIMPA, -48.761, -18.071, 2013, 0.81, 1.83, 0.0074, 2.65
5200258, ÁGUAS_LINDAS_DE_GOIÁS, -48.283, -15.738, 159378, 125.72, 357.04, 0.8307, 483.59
5200308, ALEXÂNIA, -48.510, -16.086, 23814, 12.79, 25.23, 0.1027, 38.12
5200506, ALOÂNDIA, -49.482, -17.725, 2051, 1.01, 2.27, 0.0092, 3.29
5200555, ALTO_HORIZONTE, -49.333, -14.199, 4505, 2.20, 4.95, 0.0202, 7.17
5200605, ALTO_PARAÍSO_DE_GOIÁS, -47.519, -14.136, 6885, 2.97, 6.69, 0.0272, 9.69
5200803, ALVORADA_DO_NORTE, -46.516, -14.483, 8084, 3.92, 8.81, 0.0359, 12.77
5200829, AMARALINA, -49.295, -13.925, 3434, 0.63, 1.41, 0.0057, 2.04
5200852, AMERICANO_DO_BRASIL, -49.984, -16.255, 5508, 2.69, 6.05, 0.0246, 8.76
5200902, AMORINÓPOLIS, -51.097, -16.618, 3609, 1.24, 2.78, 0.0113, 4.03
5201108, ANÁPOLIS, -48.957, -16.329, 334613, 295.88, 737.59, 1.7161, 1035.19
5201207, ANHANGUERA, -48.217, -18.334, 1020, 0.54, 1.22, 0.0050, 1.77
5201306, ANICUNS, -49.959, -16.461, 20239, 11.25, 22.19, 0.0904, 33.54
5201405, APARECIDA_DE_GOIÂNIA, -49.243, -16.822, 455657, 409.67, 1021.27, 2.3761, 1433.32
5201454, APARECIDA_DO_RIO_DOCE, -51.151, -18.297, 2427, 1.11, 2.50, 0.0102, 3.62
5201504, APORÉ, -51.928, -18.959, 3803, 1.45, 3.26, 0.0133, 4.72
5201603, ARAÇU, -49.682, -16.354, 3802, 1.91, 4.30, 0.0175, 6.23
5201702, ARAGARÇAS, -52.247, -15.898, 18305, 11.45, 22.59, 0.0920, 34.13
5201801, ARAGOIÂNIA, -49.451, -16.916, 8365, 3.15, 7.09, 0.0289, 10.27
5202155, ARAGUAPAZ, -50.635, -15.089, 7510, 2.96, 6.67, 0.0271, 9.66
5202353, ARENÓPOLIS, -51.560, -16.388, 3277, 1.09, 2.46, 0.0100, 3.56
5202502, ARUANÃ, -51.081, -14.903, 7496, 3.52, 7.92, 0.0322, 11.47
5202601, AURILÂNDIA, -50.465, -16.677, 3650, 1.60, 3.59, 0.0146, 5.20
5202809, AVELINÓPOLIS, -49.754, -16.462, 2450, 1.07, 2.41, 0.0098, 3.49
5203104, BALIZA, -52.543, -16.202, 3714, 0.62, 1.40, 0.0057, 2.03
5203203, BARRO_ALTO, -48.916, -14.974, 8716, 3.56, 8.01, 0.0326, 11.61
5203302, BELA_VISTA_DE_GOIÁS, -48.952, -16.973, 24554, 11.67, 23.02, 0.0937, 34.78
5203401, BOM_JARDIM_DE_GOIÁS, -52.175, -16.201, 8423, 3.62, 8.14, 0.0331, 11.79
5203500, BOM_JESUS_DE_GOIÁS, -49.739, -18.215, 20727, 12.51, 24.68, 0.1005, 37.30
5203559, BONFINÓPOLIS, -48.971, -16.618, 7536, 4.00, 9.00, 0.0366, 13.04
5203575, BONÓPOLIS, -49.837, -13.650, 3503, 0.74, 1.67, 0.0068, 2.42
5203609, BRAZABRANTES, -49.389, -16.426, 3232, 1.24, 2.78, 0.0113, 4.03
5203807, BRITÂNIA, -51.167, -15.239, 5509, 2.59, 5.82, 0.0237, 8.44
5203906, BURITI_ALEGRE, -49.040, -18.133, 9054, 4.79, 10.78, 0.0439, 15.62
5203939, BURITI_DE_GOIÁS, -50.434, -16.181, 2560, 0.99, 2.22, 0.0091, 3.22
5203962, BURITINÓPOLIS, -46.431, -14.456, 3321, 1.07, 2.42, 0.0098, 3.50
5204003, CABECEIRAS, -46.929, -15.801, 7354, 3.14, 7.06, 0.0287, 10.22
5204102, CACHOEIRA_ALTA, -50.945, -18.751, 10553, 4.78, 10.75, 0.0438, 15.57
5204201, CACHOEIRA_DE_GOIÁS, -50.643, -16.667, 1417, 0.67, 1.50, 0.0061, 2.17
5204250, CACHOEIRA_DOURADA, -49.471, -18.489, 8254, 3.05, 6.87, 0.0280, 9.95
5204300, CAÇU, -51.134, -18.563, 13283, 6.12, 13.76, 0.0560, 19.94
5204409, CAIAPÔNIA, -51.809, -16.953, 16757, 7.97, 15.73, 0.0640, 23.77
5204508, CALDAS_NOVAS, -48.621, -17.744, 70473, 46.72, 108.52, 0.3535, 155.59
5204557, CALDAZINHA, -49.003, -16.715, 3325, 1.09, 2.46, 0.0100, 3.56
5204607, CAMPESTRE_DE_GOIÁS, -49.696, -16.762, 3387, 1.35, 3.05, 0.0124, 4.41
5204656, CAMPINAÇU, -48.570, -13.786, 3656, 1.24, 2.79, 0.0113, 4.04
